Disease	Biomarkers
Giant papillary conjunctivitis	['ACD', 'GAPDH', 'GAPDHP44', 'GYPC', 'RANGAP1', 'SLC17A5', 'OFC1', 'IL6']
Allergic contact dermatitis	['ACD', 'SDC1', 'WDR20', 'CXCL8', 'TP63', 'ALDH3A2', 'CTLA4', 'NOD2', 'CELIAC2', 'AGO2', 'CCN6', 'VSX1', 'HPD', 'HTT', 'NBEAL2', 'IL31', 'CXCL14', 'IL18', 'IL37', 'OAP']
Oral allergy syndrome	['SULT1A1', 'ST8SIA4', 'SNCG', 'SCTR', 'SLC5A8', 'CD63', 'IGHE', 'SMOC1', 'BAAT']
Spontaneous urticaria	['REG3A', 'ASAP1', 'TUSC2', 'PAPOLA', 'ASAP2', 'MRPS30', 'PDAP1', 'SPACA9', 'HRH1', 'DHX8', 'DHX34', 'IGHE', 'HSD11B1', 'MMP9', 'CRP', 'CSRP1', 'PPIAP10', 'GLA', 'NAT8', 'RLN1', 'H1-5', 'CLIC4', 'VPS45', 'VEGFA', 'AR', 'AKR1B1', 'CIMT', 'LRP1', 'PMAIP1', 'CD4', 'ENPP3', 'IL6', 'CD93', 'ATM', 'ATD', 'DTD2', 'GC', 'TPO', 'THPO', 'DIO3', 'MGP', 'IL31']
Acute urticaria	['OTOR', 'CRP', 'CSRP1', 'PPIAP10', 'BCAM', 'HR']
Chronic urticaria	['MMP9', 'OTOR', 'CRP', 'CSRP1', 'PPIAP10', 'ATM', 'ATD', 'DTD2', 'TPO', 'THPO', 'IGHE', 'IL6', 'SPACA9', 'IL18', 'ENPP3', 'CD63']
Cholinergic urticaria	['CEACAM5', 'CEACAM3', 'PSG2', 'MUC16']
Cryopyrin-associated periodic syndromes	['IL1B', 'IL6R', 'ABCC1', 'WLS', 'MARCKSL1', 'S100A9', 'NLRP3', 'CADPS', 'CAPS']
Idiopathic angioedema	['OTOR', 'CRP', 'CSRP1', 'PPIAP10', 'REG3A', 'ASAP1', 'TUSC2', 'PAPOLA', 'ASAP2', 'MRPS30', 'PDAP1']
Hereditary angioedema	['KLK4', 'ITIH4', 'RANGAP1', 'SLC17A5', 'KNG1', 'REG3A', 'ASAP1', 'TUSC2', 'PAPOLA', 'ASAP2', 'MRPS30', 'PDAP1', 'HNRNPC', 'ARHGAP4', 'PFDN4', 'TRGC1', 'CTNND1', 'BCAR1', 'CSE1L', 'TMX2-CTNND1', 'SBDS', 'SDS', 'INHA', 'SERPING1']
Urticarial vasculitis	['HSP90B2P', 'LOC102723407', 'LOC102724971']
Atopic eczema	['IGHE', 'VEGFA', 'MTR', 'MS']
Food protein-induced enterocolitis syndrome	['LOC102723407', 'LOC102724971', 'CCL17']
Anaphylaxis	['MRGPRX2', 'CTSC', 'REG3A', 'ASAP1', 'TUSC2', 'PAPOLA', 'ASAP2', 'MRPS30', 'PDAP1', 'OMA1', 'AMY2A', 'EPB42', 'BLOC1S6', 'PRH1', 'TAB3', 'DAO', 'AOC1', 'SLC16A1', 'MCPH1', 'MCAT', 'IL13', 'SPACA9', 'SNORD59A', 'TPSAB1', 'PCLAF', 'BAAT', 'MT1E', 'VIT', 'PGR', 'ERVK-18', 'ERVK-10', 'ERVK-19', 'TMEM37', 'ERVK-21', 'ERVK-24', 'ERVK-9', 'ERVK-8', 'ERVK-25', 'MAP3K7', 'NDUFB6', 'SNORD119', 'AGXT', 'SLC25A5', 'ABCC11', 'IGHE', 'IL1RL1', 'CD5', 'SLC25A4', 'TRAPPC9', 'ADA', 'PMM2', 'MPI', 'TMEM11', 'HEMK1', 'ERMAP', 'RANGAP1', 'SLC17A5', 'UTRN', 'DENR', 'H1-3', 'AR', 'AKR1B1', 'HR', 'FGFR1', 'FLG', 'ENPP3', 'NOS1', 'ACAT1', 'IL5', 'ERVK-11', 'PARP1', 'COL11A2', 'C11orf65', 'TCN1', 'CAMK4', 'A4GALT', 'KIT', 'CD63']
Drug-induced vasculitis	['ELANE', 'EGFR', 'MPO']
DRESS syndrome	['CALCA', 'UROD', 'CRP', 'CSRP1', 'PPIAP10', 'TSLP', 'JAK1', 'IL1RL1', 'ST2', 'SULT2A1', 'SDCBP2']
