Disease	Biomarkers
Huntington disease	['SLC29A1', 'CAT', 'CRAT', 'GLYAT', 'TGFB1', 'SMN1', 'ATXN2', 'LY6E', 'H2AC20', 'H2AC18', 'HTT', 'AKT1', 'CSF2', 'LAMC2', 'SCAMP5', 'SLC5A2', 'SOD2', 'SOD2-OT1', 'NR3C1', 'CNR1', 'SNAP25', 'FXN', 'FANCA', 'SOD1', 'MCIDAS', 'KCNJ11', 'MTR', 'IGKV1D-39', 'PPP1R3A', 'MTOR', 'CARTPT', 'DEFA1', 'MARS1', 'SAMD11', 'MROS', 'MS', 'CHKA', 'CMPK1', 'CHKB', 'DIO2', 'IGHD2-15', 'SYNM', 'RANGAP1', 'SLC17A5', 'MID1', 'MBL2', 'MBP', 'PRG2', 'NEFL', 'ROS1', 'ATXN1', 'CASZ1', 'SLC35A1', 'GAL3ST1', 'ATXN7', 'ESR1', 'EREG', 'PNP', 'KLK8', 'ZNF384', 'CTF2P', 'PPY', 'PPA1', 'DMD', 'MGAM', 'CYREN', 'SLC2A1', 'CALCA', 'PCYT1A', 'LINC01672', 'ATXN3', 'CHI3L1', 'EYA1', 'OPN1SW', 'SMYD1', 'RTL10', 'BOP', 'ARID4B', 'SDHB', 'ABCG1', 'BDNF', 'TCN1', 'MIF', 'S100A9', 'AMH', 'S100A8', 'HDAC1', 'PLEC', 'IGFALS', 'FASTK', 'SLC6A4']
Primary dystonia	['SLC26A4', 'PTGDS', 'CALCA', 'PCYT1A']
Congenital ataxia	['SACS']
Hereditary ataxia	['CYREN', 'FGF21', 'ATXN3']
Friedreich ataxia	['HDAC9', 'ATXN2', 'LY6E', 'DLAT', 'CACNA1A', 'APTX', 'GAD1', 'UCN3', 'SLC50A1', 'GAA', 'FXN', 'FANCA', 'SLC4A1', 'VPS54', 'DEFA1', 'MARS1', 'SAMD11', 'MROS', 'ZFYVE9', 'RANGAP1', 'SLC17A5', 'ATXN1', 'GDI1', 'SMARCA1', 'CYREN', 'NOVA2', 'ATXN3', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'TFPI', 'TMEM121', 'GPAA1']
Spinocerebellar ataxia	['UTS2R', 'SLC14A2', 'SCGB1D4', 'CNTN3', 'RNPEP', 'ATXN2', 'LY6E', 'HTT', 'CACNA1A', 'TBP', 'APTX', 'CSF2', 'LAMC2', 'HNRNPC', 'C2', 'C3', 'PLXNA3', 'CCNDBP1', 'BRD2', 'FXN', 'FANCA', 'SOD1', 'COX7A2L', 'FLVCR1', 'NDUFB6', 'NPC1', 'NPCA1', 'CREB1', 'GSTK1', 'SLCO6A1', 'REG1A', 'MSMB', 'STXBP3', 'RIDA', 'PSPN', 'BPIFA2', 'PPP1R3A', 'STUB1', 'DEFA1', 'MARS1', 'SAMD11', 'MROS', 'ATXN3', 'PTEN', 'CANDF1', 'PARK7', 'PINK1', 'PRKN', 'MUC5AC', 'SIGLEC1', 'SCG2', 'ZFYVE9', 'RANGAP1', 'SLC17A5', 'ATXN1', 'NEFL', 'PLOD1', 'PSG5', 'ROS1', 'SSD', 'CASZ1', 'SLC35A1', 'GAL3ST1', 'ATXN7', 'TWNK', 'GBA', 'GBAP1', 'IGFBP1', 'IGFBP3', 'SMARCA1', 'CYREN', 'TPO', 'PLXNA2', 'S100B', 'GFAP', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'TYMS', 'PYCARD', 'ARHGAP4', 'PFDN4', 'TRGC1', 'OPN1MW', 'CD55', 'TCN2', 'TCN1', 'SHOX', 'GYPB', 'FDFT1', 'IGFALS', 'CCL21', 'SLC6A4']
Rest tremor	['PCYT2', 'MFSD11', 'SMN1', 'CHRM1', 'MRLN', 'SYNM']
Tic disorders	['ENO2', 'TYMS', 'CACNA1C', 'TBXAS1', 'GCY']
Tourette syndrome	['OMA1', 'HERC1', 'CSF2', 'LAMC2', 'LRP2', 'MCF2L', 'NRIP1', 'ENPP2', 'SMG1', 'FXN', 'FANCA', 'ENO2', 'ATP6V0A2', 'GPHA2', 'UBE3A', 'SPN', 'DEAF1', 'PPP1R3A', 'HERC2', 'IL1RL1', 'CD5', 'SLC25A4', 'TRAPPC9', 'CD38', 'DEFA1', 'MARS1', 'SAMD11', 'MROS', 'HDC', 'HECA', 'TYMS', 'CACNA1C', 'TBXAS1', 'GCY', 'RANGAP1', 'SLC17A5', 'CHRNA7', 'CHRFAM7A', 'USP3', 'NKG7', 'CHN1', 'NEK9', 'AZIN2', 'GADL1', 'CYREN', 'BGLAP', 'KRT17', 'PODXL', 'PC', 'GTS', 'LMNA', 'APBA2', 'ARSD']
Stereotypies	['MECP2', 'ARSD', 'IRAK1']
Autism spectrum disorder	['APOE', 'PSD', 'PISD', 'FBXL15', 'FMR1', 'FRAXA', 'FMR1-IT1', 'NPC1', 'CTNNBL1', 'ADAM12', 'NLRP3', 'AVP', 'IFNAR1', 'THAS', 'TNFRSF1B', 'PSIP1', 'TCF3', 'CUX1', 'KHSRP', 'SIGLEC7', 'HCLS1', 'APOB', 'TNC', 'RNF130', 'GRID2', 'CNTNAP2', 'HTR1A', 'OXTR', 'DCX', 'NLGN4X', 'C6orf15', 'IRF1', 'ENO2', 'PLXNA3', 'SOD1', 'PSMD2', 'RPS2', 'FST', 'GBGT1', 'ERVMER34-1', 'FABP1', 'CAMP', 'CHAMP1', 'SLC5A8', 'CA1', 'EIF6', 'NPDC1', 'MASP2', 'SYNGAP1', 'ERBB2', 'NEU1', 'PF4', 'CD38', 'EYA1', 'IDS', 'IL6', 'HGF', 'SOS1', 'MTR', 'MS', 'PHB2', 'SIL1', 'PLF', 'CDH8', 'MAPT', 'RANGAP1', 'SLC17A5', 'FUT2', 'AVPR1A', 'ATP2A2', 'AKR1C2', 'HR', 'APOH', 'GUSB', 'ACSBG1', 'TGFB2', 'GOPC', 'BBS9', 'LMOD1', 'MTSS1', 'IL18', 'AR', 'SORT1', 'NTF3', 'PRDM6', 'TSC2', 'GAD1', 'KCNJ10', 'TUBB', 'BMP4', 'TYMS', 'PYCARD', 'BCL11A', 'QPCT', 'HPSE', 'CXCL10', 'FOXC2', 'FMN1', 'DOCK11', 'NT5E', 'NTS', 'EMD', 'EMB', 'CTSL', 'NLN', 'BAMBI', 'PTGS2', 'NBN', 'NME1', 'AIC', 'RNMT', 'SLTM', 'FGA', 'HTR4', 'HSPB1', 'HSPB2', 'CARS1', 'C3', 'SDHB', 'SARDH', 'SDS', 'EEF1A2', 'NRIP1', 'ABR', 'LOC102723407', 'LOC102724971', 'SERPINA5', 'FLVCR1', 'NDUFB6', 'F3', 'TF', 'GSTK1', 'SLCO6A1', 'COL9A3', 'DGCR2', 'MAPK1', 'MAPK14', 'CRK', 'AHSA1', 'POLDIP2', 'KDR', 'ERG', 'TSC1', 'SLC12A3', 'TESC', 'DIO2', 'IGHD2-15', 'FLNB', 'NXF1', 'USO1', 'SEC14L2', 'SYNM', 'IL1B', 'RHOD', 'ITGB3', 'IFNG', 'MMUT', 'WDTC1', 'TNFAIP1', 'NDUFB3', 'SNCA', 'DCD', 'TSPO', 'DBI', 'TIMP1', 'DOCK4', 'PTPRC', 'MTHFR', 'OFC1', 'GFAP', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'SHANK2', 'DDX41', 'CFH', 'NTSR1', 'IRF6', 'ARHGEF7', 'HTR2A', 'ELANE', 'GYPC', 'ARSD', 'AKR1C1', 'AGRP', 'ARTN', 'SLC6A4', 'PTPN4', 'FABP4', 'TGFB1', 'UBN1', 'CENPV', 'SMS', 'RSS', 'FOXK2', 'PCLAF', 'PSMD1', 'FBN2', 'ADNP', 'FXN', 'FANCA', 'OXT', 'CHRM1', 'MRLN', 'UBE3A', 'DLL1', 'PLEKHM1', 'IGKV5-2', 'MECP2', 'MIA', 'DHDDS', 'CHPT1', 'PTEN', 'KITLG', 'RPSA', 'MVP', 'PTPRA', 'TET2', 'SF3B1', 'YWHAE', 'ASXL1', 'PAFAH1B1', 'GNB1', 'HTR1B', 'TEAD1', 'PRPH2', 'DHPS', 'MBL2', 'MBP', 'PRG2', 'CLIP1', 'DNAAF4', 'NELFE', 'PEX7', 'PHYH', 'ERMAP', 'DYX1', 'CTNND1', 'BCAR1', 'CSE1L', 'TMX2-CTNND1', 'AHI1', 'PAX3', 'PNP', 'KLK8', 'ZNF384', 'CTF2P', 'PCYT2', 'MFSD11', 'CYREN', 'WG', 'RARS1', 'CD82', 'RRM2', 'CD1E', 'TCN1', 'NTF4', 'SLC1A1', 'FASTK', 'RPLP2', 'PMP2', 'CS', 'WDR20', 'PRB1', 'CCDC6', 'SLC25A19', 'ARHGDIB', 'GJA1', 'CDSN', 'PSS', 'APOC1', 'PPP2R2C', 'FABP2', 'DNMT3B', 'CSF2', 'LAMC2', 'MAG', 'TAAR6', 'EGOT', 'EPHB2', 'UCK2', 'MCIDAS', 'TBCEL', 'ACACA', 'AFP', 'TRIM26', 'ELK3', 'FUZ', 'PRDX2', 'C4BPA', 'CARD14', 'ABCB6', 'AKT1', 'PROM1', 'CPB2', 'DEFA1', 'MARS1', 'SAMD11', 'MROS', 'CHKA', 'CMPK1', 'CHKB', 'IGKV1-5', 'ALDH5A1', 'CRYGD', 'S100B', 'S100A1', 'CACNA1C', 'TBXAS1', 'GCY', 'CXCL9', 'ACSM3', 'F2', 'SLC6A3', 'BCL9', 'CHN1', 'NEK9', 'DRD4', 'GRIN2B', 'IKZF4', 'PRSS33', 'EOS', 'ACVRL1', 'TGM1', 'KCNMA1', 'ARID4B', 'MAP3K10', 'MPST', 'MSTO1', 'TAM', 'BDNF', 'CD34', 'FCGR1B', 'HNRNPC', 'ARHGAP4', 'PFDN4', 'TRGC1', 'CNTF', 'THPO', 'BMP1', 'IL7', 'LINC02605', 'NPPA', 'DHCR7', 'PNN']
Rett syndrome	['MECP2', 'HDAC9', 'CSF2', 'LAMC2', 'HDAC6', 'CDKL5', 'PRF1', 'PMEL', 'PRM1', 'A4GALT', 'RPLP1', 'B3GALNT1', 'LOC102723407', 'LOC102724971', 'CGN', 'CHRM1', 'MRLN', 'NDUFB6', 'FCER2', 'FOXG1', 'RANGAP1', 'SLC17A5', 'DNAAF4', 'NELFE', 'PEX7', 'PHYH', 'ERMAP', 'DYX1', 'EDA', 'HAS1', 'IRAK1', 'CYREN', 'BDNF', 'TYMS', 'PYCARD', 'GRIN2A', 'PITX2', 'RS1', 'REG1CP', 'STAR', 'GUCY2C', 'ARSD', 'RPLP2', 'PMP2']
Akathisia	['FXN', 'FANCA', 'ERBB2', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'FLT1', 'HR', 'BAG6', 'C6orf47']
Restless legs syndrome	['CYREN', 'CRP', 'CSRP1', 'PPIAP10', 'NDUFB6', 'RLS1', 'TYMS', 'PYCARD', 'AVP', 'CD5', 'HNRNPC', 'ARHGAP4', 'PFDN4', 'TRGC1', 'SLC4A1', 'CSF2', 'LAMC2', 'FXYD1', 'DRD2', 'SDSL', 'TDH']
REM sleep behaviour disorder	['RANGAP1', 'SLC17A5', 'NDUFB6', 'CPM', 'CSF2', 'LAMC2', 'TSL', 'SPARC']
Hereditary spastic paraplegia	['CTSL', 'NLN', 'FA2H', 'ALDH18A1', 'DDHD2', 'SERAC1', 'CSF2', 'LAMC2', 'NDUFB6', 'SPAST', 'HSP90B2P', 'CANDF1', 'CTSC', 'SPG7', 'AP5M1', 'HR', 'CYP7B1', 'ERVK-19', 'ERVK-11', 'ERVK-9', 'TCN1', 'IFT122', 'SPG16', 'SOD1', 'IGFALS']
